Saison,Championat,Date,Heure,Équipe Domicile,Score Domicile,Score Extérieur,Équipe Extérieur,Cote 1,Cote X,Cote 2
2004-2005,france/ligue-1,14 Aug 2004 ,19:00,Nantes,1,1,Bastia,1.65,3.25,4.75
2004-2005,france/ligue-1,14 Aug 2004 ,19:00,Strasbourg,4,1,Toulouse,2.01,3.03,3.40
2004-2005,france/ligue-1,14 Aug 2004 ,16:15,PSG,2,2,Caen,1.30,4.34,7.83
2004-2005,france/ligue-1,07 Aug 2004 ,19:00,Bastia,2,1,Strasbourg,2.06,3.10,3.18
2004-2005,france/ligue-1,07 Aug 2004 ,19:00,Caen,1,1,Istres,1.72,3.18,4.39
2004-2005,france/ligue-1,07 Aug 2004 ,19:00,Lille,2,0,Auxerre,2.35,2.97,2.80
2004-2005,france/ligue-1,07 Aug 2004 ,19:00,Marseille,1,0,Bordeaux,1.67,3.23,4.72
2004-2005,france/ligue-1,07 Aug 2004 ,19:00,Metz,1,0,Nantes,2.40,3.02,2.68
2004-2005,france/ligue-1,07 Aug 2004 ,19:00,Rennes,2,1,PSG,2.86,3.03,2.25
2004-2005,france/ligue-1,07 Aug 2004 ,19:00,Sochaux,1,0,AC Ajaccio,1.58,3.42,5.17
2004-2005,france/ligue-1,07 Aug 2004 ,19:00,Toulouse,0,0,Lens,2.31,3.03,2.78
2004-2005,france/ligue-1,07 Aug 2004 ,16:15,St Etienne,1,0,Monaco,3.01,3.06,2.17
2004-2005,france/ligue-1,06 Aug 2004 ,19:45,Nice,1,0,Lyon,3.07,3.07,2.13
